Date,State,Parameter,Value,Chunk ID
2025-09-15,Maharashtra,Reported Statistic,- Soybean : About 120.43 lakh ha (94.7% of Normal) area coverage under Soyabean has been reported  as  compared  to  126.24  lakh  ha  during  the  corresponding  period  of  last  year. Soyabean area diverted in Maize in MP and Maharashtra.,
2025-09-22,Maharashtra,Reported Statistic,- Soybean : About 120.44 lakh ha (94.7% of Normal) area coverage under Soyabean has been reported  as  compared  to  126.26  lakh  ha  during  the  corresponding  period  of  last  year. Soyabean area diverted in Maize in MP and Maharashtra.,
2025-10-06,Maharashtra,Reported Statistic,- Soybean : About 120.45 lakh ha (94.7% of Normal) area coverage under Soyabean has been reported  as  compared  to  129.55  lakh  ha  during  the  corresponding  period  of  last  year. Soyabean area diverted in Maize in MP and Maharashtra.,
2025-10-13,Maharashtra,Reported Statistic,- Soybean : About 120.45 lakh ha (94.7% of Normal) area coverage under Soyabean has been reported  as  compared  to  129.55  lakh  ha  during  the  corresponding  period  of  last  year. Soyabean area diverted in Maize in MP and Maharashtra.,
