Date,Week,Crop,State,Observation Type,Growth Stage,Crop Operation,Sowing Status,Harvest Status,Pest,Disease,Weather,Irrigation,Nutrient Management,Advisory,Statistics,Evidence,PDF Name,Page,Chunk ID,Confidence,Verification Status,Source Method
2026-02-02,,Black Gram (Urad),All India,Market Information,,,,,,,Normal,,,,"| Maize Tur (Arhar) Gram Urad Jowar Bajra Groundnut Mustard Soyabean Sunflower   | 9.33 2.86 17.82 22.11 16.31 13.56 1.09 7.77 1.37   | Moong Ragi Sesamum Onion Potato Tomato   |
2.30
0.33
0.07
20.54
10.81
17.76   |
|--------------------------------------------------------------------------------|----------------------------------------------------|------------------------------------------|------------------------------------------|
Source: Agmarknet (through UPAg)
| All India Weekly Average Retail Prices           | All India Weekly Average Retail Prices   | All India Weekly Average Retail Prices   | All India Weekly Average Retail Prices   |
|--------------------------------------------------|------------------------------------------|------------------------------------------|------------------------------------------|
| Increasing Trend                                 | Increasing Trend                         | Decreasing Trend                         | Decreasing Trend                         |
| Commodities                                      | % Variation over last Week               | Commodities                              | % Variation over last Week               |
| Wheat Arhar/Tur Dal Masur Moong Urad Jowar Bajra | 0.63                                     | Rice Ragi                                |
0.51                                    |","| Maize Tur (Arhar) Gram Urad Jowar Bajra Groundnut Mustard Soyabean Sunflower   | 9.33 2.86 17.82 22.11 16.31 13.56 1.09 7.77 1.37   | Moong Ragi Sesamum Onion Potato Tomato   |
2.30
0.33
0.07
20.54
10.81
17.76   |
|--------------------------------------------------------------------------------|----------------------------------------------------|------------------------------------------|------------------------------------------|
Source: Agmarknet (through UPAg)
| All India Weekly Average Retail Prices           | All India Weekly Average Retail Prices   | All India Weekly Average Retail Prices   | All India Weekly Average Retail Prices   |
|--------------------------------------------------|------------------------------------------|------------------------------------------|------------------------------------------|
| Increasing Trend                                 | Increasing Trend                         | Decreasing Trend                         | Decreasing Trend                         |
| Commodities                                      | % Variation over last Week               | Commodities                              | % Variation over last Week               |
| Wheat Arhar/Tur Dal Masur Moong Urad Jowar Bajra | 0.63                                     | Rice Ragi                                |
0.51                                    |",Minutes of the meeting of CWWG as on 02.02.2026.pdf,1,,0.9,VERIFIED,rule_based
2026-02-16,,Black Gram (Urad),All India,Market Information,,,,,,,Normal,,,,"| All India Weekly Average Mandi Prices   | All India Weekly Average Mandi Prices   | All India Weekly Average Mandi Prices   | All India Weekly Average Mandi Prices   |
|-----------------------------------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|
| Increasing Trend                        | Increasing Trend                        | Decreasing Trend                        | Decreasing Trend                        |
| Commodities                             | % Variation over last Week              | Commodities                             | % Variation over last Week              |
| Urad                                    | 3.32                                    | Wheat                                   |
1.40                                   |","| All India Weekly Average Mandi Prices   | All India Weekly Average Mandi Prices   | All India Weekly Average Mandi Prices   | All India Weekly Average Mandi Prices   |
|-----------------------------------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|
| Increasing Trend                        | Increasing Trend                        | Decreasing Trend                        | Decreasing Trend                        |
| Commodities                             | % Variation over last Week              | Commodities                             | % Variation over last Week              |
| Urad                                    | 3.32                                    | Wheat                                   |
1.40                                   |",Minutes of the meeting of CWWG as on 16.02.2026.pdf,1,,0.9,VERIFIED,rule_based
2026-03-02,,Black Gram (Urad),All India,Market Information,,,,,,,Normal,,,,"| All India Weekly Average Mandi Prices   | All India Weekly Average Mandi Prices   | All India Weekly Average Mandi Prices                                                          | All India Weekly Average Mandi Prices                                      |
|-----------------------------------------|-----------------------------------------|------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------|
| Increasing Trend                        | Increasing Trend                        | Decreasing Trend                                                                               | Decreasing Trend                                                           |
| Commodities                             | % Variation over last                   | Commodities                                                                                    | % Variation over last Week                                                 |
| Maize Gram Moong Urad Ragi Onion        | Week 2.38 2.66 1.11 0.23 0.67 1.43      | Wheat Tur (Arhar) Masur Jowar Bajra Groundnut Mustard Soyabean Sesamum Sunflower Potato Tomato |
2.49
1.49 3.47
25.44
9.70
1.07
3.89
3.29
13.18
5.24
14.31
27.82 |
Source: Agmarknet (through UPAg)","| All India Weekly Average Mandi Prices   | All India Weekly Average Mandi Prices   | All India Weekly Average Mandi Prices                                                          | All India Weekly Average Mandi Prices                                      |
|-----------------------------------------|-----------------------------------------|------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------|
| Increasing Trend                        | Increasing Trend                        | Decreasing Trend                                                                               | Decreasing Trend                                                           |
| Commodities                             | % Variation over last                   | Commodities                                                                                    | % Variation over last Week                                                 |
| Maize Gram Moong Urad Ragi Onion        | Week 2.38 2.66 1.11 0.23 0.67 1.43      | Wheat Tur (Arhar) Masur Jowar Bajra Groundnut Mustard Soyabean Sesamum Sunflower Potato Tomato |
2.49
1.49 3.47
25.44
9.70
1.07
3.89
3.29
13.18
5.24
14.31
27.82 |
Source: Agmarknet (through UPAg)",Minutes of the meeting of CWWG as on 02.03.2026.pdf,1,,0.9,VERIFIED,rule_based
2026-03-09,,Black Gram (Urad),All India,Market Information,,,,,,,Normal,,,,"| All India Weekly Average Mandi Prices                 | All India Weekly Average Mandi Prices    | All India Weekly Average Mandi Prices                                     | All India Weekly Average Mandi Prices                        |
|-------------------------------------------------------|------------------------------------------|---------------------------------------------------------------------------|--------------------------------------------------------------|
| Increasing Trend                                      | Increasing Trend                         | Decreasing Trend                                                          | Decreasing Trend                                             |
| Commodities                                           | % Variation over last Week               | Commodities                                                               | % Variation over last Week                                   |
| Maize Masur Urad Mustard Soyabean Onion Potato Tomato | 0.82 3.06 10.68 2.55 3.19 0.14 2.42 4.41 | Wheat Tur (Arhar) Gram Moong Jowar Bajra Ragi Groundnut Sesamum Sunflower |
1.88
0.05
5.32
5.14
7.91
4.95
3.64
10.38
3.94
3.68 |
Source: Agmarknet (through UPAg)","| All India Weekly Average Mandi Prices                 | All India Weekly Average Mandi Prices    | All India Weekly Average Mandi Prices                                     | All India Weekly Average Mandi Prices                        |
|-------------------------------------------------------|------------------------------------------|---------------------------------------------------------------------------|--------------------------------------------------------------|
| Increasing Trend                                      | Increasing Trend                         | Decreasing Trend                                                          | Decreasing Trend                                             |
| Commodities                                           | % Variation over last Week               | Commodities                                                               | % Variation over last Week                                   |
| Maize Masur Urad Mustard Soyabean Onion Potato Tomato | 0.82 3.06 10.68 2.55 3.19 0.14 2.42 4.41 | Wheat Tur (Arhar) Gram Moong Jowar Bajra Ragi Groundnut Sesamum Sunflower |
1.88
0.05
5.32
5.14
7.91
4.95
3.64
10.38
3.94
3.68 |
Source: Agmarknet (through UPAg)",Minutes of the meeting of CWWG as on 09.03.2026.pdf,1,,0.9,VERIFIED,rule_based
