0,1,2,3,4,5,6,7,8,9,10,11,12
"Prod
uct","Total
Require
ment
Kharif
2025","Total
Require
ment
Kharif
2024","Open
ing
stock
as on
1.4.25","Openi
ng
stock
as on
1.4.24","Require
ment
during
August,
2025","Require
ment
during
August,
2024",(as on 14/08/25),,,(upto 14/08/24),,
,,,,,,,"Availab
ility","Sal
es","Closi
ng
stock","Availab
ility","Sal
es","Closi
ng
stock"
UREA,185.40,177.13,55.96,79.83,36.44,35.17,51.51,21.92,29.59,95.21,19.31,75.90
DAP,56.99,59.87,9.15,17.75,9.19,9.69,19.19,4.38,14.81,17.83,3.47,14.36
MOP,11.13,10.26,8.83,6.36,1.95,1.81,6.67,1.01,5.66,8.54,0.69,7.85
NPK,76.51,74.19,34.04,40.16,13.99,13.58,41.01,9.02,31.99,51.20,6.43,44.76
SSP,32.57,36.12,21.58,18.70,5.32,6.01,22.48,3.01,19.46,20.98,1.79,19.19
"TOT
AL",362.60,357.56,129.55,162.79,66.88,66.26,140.86,39.35,101.51,193.76,31.70,162.06
