0,1,2,3,4,5,6,7
,All India Procurement of Paddy/Rice during KMS 2024-25,,,,,,
,As on 11.06.2026 (Figures in LMT),,,,,,
Crop,,"Rice
Procurement
Estimates
during KMS
2025-26
(Estimates in
terms of Paddy)",KMS 2025-26,,KMS 2024-25,,
,,,"Progressive
Paddy
procurement","Progressive
procurement in
terms of Rice
(Percentage of
target achieved)","Progressive
Corresponding
paddy
Procurement","Progressive
Corresponding
Procurement in
terms of Rice",
Kharif,,"485.95
(722.99)",714.15,"480.04
(98.78%)",685.90,460.70,
Rabi,,"83.57
(124.09)",98.84,"66.46
(79.53%)",83.90,56.35,
"Kharif +
Rabi",,"569.52
(847.08)",812.99,"546.50
(95.96%)",769.80,517.05,
