Date,Observation,Evidence
2025-09-15,- Soybean : About 120.43 Lakh Ha (94.7% Of Normal) Area Coverage Under Soyabean Has Been Reported  As  Compared  To  126.24  Lakh  Ha  During  The  Corresponding  Period  Of  Last  Year. Soyabean Area Diverted In Maize In Mp And Maharashtra. Stage,
2025-09-22,- Soybean : About 120.44 Lakh Ha (94.7% Of Normal) Area Coverage Under Soyabean Has Been Reported  As  Compared  To  126.26  Lakh  Ha  During  The  Corresponding  Period  Of  Last  Year. Soyabean Area Diverted In Maize In Mp And Maharashtra. Stage,
2025-10-06,- Soybean : About 120.45 Lakh Ha (94.7% Of Normal) Area Coverage Under Soyabean Has Been Reported  As  Compared  To  129.55  Lakh  Ha  During  The  Corresponding  Period  Of  Last  Year. Soyabean Area Diverted In Maize In Mp And Maharashtra. Stage,
2025-10-13,- Soybean : About 120.45 Lakh Ha (94.7% Of Normal) Area Coverage Under Soyabean Has Been Reported  As  Compared  To  129.55  Lakh  Ha  During  The  Corresponding  Period  Of  Last  Year. Soyabean Area Diverted In Maize In Mp And Maharashtra. Stage,
