Date,State,Parameter,Value,Chunk ID
2026-04-13,Odisha,Reported Statistic,(Area in lakh ha.) ---------- ---------------------------- --------------------- -------------------------------- -------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,Minutes of the meeting of CWWG as on 13.04.2026_p1_c5
2026-04-27,Odisha,Reported Statistic,(Area in lakh ha.) ---------- ---------------------------- --------------------- -------------------------------- -------------------- -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,Minutes of the meeting of CWWG as on 27.04.2026_p1_c6
2026-05-04,West Bengal,Reported Statistic,(Area in lakh ha.) ---------- ---------------------------- --------------------- -------------------------------- -------------------- -------------------------------------------------------------------------------------------------------------------------------------------------------,Minutes of the meeting of CWWG as on 04.05.2026_p1_c7
2026-05-11,Gujarat,Reported Statistic,(Area in lakh ha.) ---------- ---------------------------- --------------------- --------------------------------- -------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------,Minutes of the meeting of CWWG as on 11.05.2026_p1_c6
