0,1,2,3,4,5,6,7
,All India Procurement of Paddy/Rice during KMS 2024-25,,,,,,
,As on 28.05.2026 (Figures in LMT),,,,,,
Crop,,"Rice
Procurement
Estimates
during KMS
2025-26
(Estimates in
terms of Paddy)",KMS 2025-26,,KMS 2024-25,,
,,,"Progressive
Paddy
procurement","Progressive
procurement in
terms of Rice
(Percentage of
target achieved)","Progressive
Corresponding
paddy
Procurement","Progressive
Corresponding
Procurement in
terms of Rice",
Kharif,,"486.59
(719.31)",713.44,"479.56
(98.56%)",685.35,460.34,
Rabi,,"79.57
(118.12)",74.18,"49.85
(62.65%)",71.72,48.16,
"Kharif +
Rabi",,"566.16
(837.43)",787.62,"529.41
(93.51 %)",757.07,508.5,
